latitude,longitude,altitude
-12.70241,131.08575,57.8
-12.70261,131.08578,57.7
-12.70507,131.08609,56.5
-12.7074,131.08636,55.9
-12.70793,131.08641,55.8
-12.71628,131.08748,58.5
-12.71756,131.08762,55.8
-12.72537,131.08859,54.6
-12.72542,131.0886,54.7
-12.73291,131.08954,44.5
-12.73314,131.08956,44.2
-12.73377,131.08967,43.8
-12.73393,131.08969,43.7
-12.73429,131.08975,43.8
-12.73526,131.08994,45
-12.73572,131.09004,45
-12.73575,131.09005,45
-12.7363,131.09018,44.4
-12.73723,131.09043,43.3
-12.73771,131.09058,43.6
-12.73797,131.09067,44.5
-12.73815,131.09072,45.1
-12.739,131.09102,45.7
-12.7395,131.09122,45.7
-12.73957,131.09124,45.7
-12.73986,131.09135,45.9
-12.74056,131.09165,47.4
-12.74115,131.09193,50.7
-12.7419,131.09231,53.3
-12.74204,131.09239,53.4
-12.74239,131.09255,53.9
-12.74318,131.09298,55.5
-12.7432,131.09298,55.6
-12.74519,131.094,57.9
-12.74528,131.09405,58.1
-12.7482,131.09555,58.7
-12.75755,131.10046,63.5
-12.7626,131.10305,61.3
-12.76646,131.10511,61.6
-12.76855,131.10618,60.3
-12.76871,131.10627,60
-12.76958,131.10671,58.2
-12.76999,131.10695,57.4
-12.77071,131.10735,55.6
-12.7712,131.10765,52.3
-12.77227,131.10839,45.7
-12.77346,131.10927,42.7
-12.77471,131.11024,40.2
-12.77526,131.11072,39.7
-12.77563,131.11107,38.9
-12.77646,131.11189,35.7
-12.77746,131.11295,35
-12.77746,131.11296,35
-12.77794,131.11348,34.6
-12.77818,131.11377,33.5
-12.78179,131.11831,33.9
-12.78236,131.11905,34.6
-12.78356,131.12047,34.7
-12.78378,131.1207,34.5
-12.78409,131.12098,32.8
-12.78453,131.12135,33.4
-12.78491,131.12163,33.2
-12.78525,131.12186,33
-12.78545,131.12198,32.9
-12.78594,131.12225,32.5
-12.78636,131.12246,32.5
-12.78722,131.1228,32.2
-12.78726,131.12282,32.1
-12.78787,131.123,32.7
-12.78822,131.12307,33.8
-12.78887,131.12318,34.6
-12.78997,131.12326,36.5
-12.79031,131.12325,37
-12.79184,131.12317,39.6
-12.79309,131.12308,40.4
-12.79529,131.12295,39.9
-12.79541,131.12293,39.7
-12.7983,131.12276,38.1
-12.7984,131.12275,37.8
-12.80452,131.12238,37.4
-12.8056,131.12229,38.2
-12.80566,131.12228,38.2
-12.80602,131.12226,38.3
-12.80639,131.12227,38.5
-12.80675,131.1223,38.8
-12.80719,131.12235,39
-12.80758,131.12241,39.4
-12.80821,131.12257,41.3
-12.80887,131.12283,40
-12.80935,131.12306,39.9
-12.81765,131.12815,58.3
-12.81781,131.12824,58.5
-12.81873,131.12881,57.3
-12.81889,131.1289,56.6
-12.82034,131.12979,54.2
-12.82172,131.13067,51.9
-12.82195,131.13083,51.1
-12.82283,131.13137,50.3
-12.82309,131.13151,49.6
-12.82385,131.13189,48.8
-12.82453,131.13213,48.3
-12.8253,131.13235,47.2
-12.8257,131.13243,46.5
-12.82575,131.13243,46.4
-12.82646,131.13253,46.7
-12.82768,131.13254,45.7
-12.83059,131.13252,43.6
-12.83145,131.13253,42.3
-12.83174,131.13255,41.8
-12.83243,131.13265,40.2
-12.83281,131.13273,40.1
-12.8332,131.13283,39.8
-12.83416,131.13315,36.7
-12.83459,131.13331,36.1
-12.83475,131.13338,35.8
-12.83622,131.13392,32.7
-12.83759,131.13438,33.7
-12.83781,131.13447,33.4
-12.83832,131.13465,33
-12.83849,131.13472,32.5
-12.8433,131.1365,36.5
-12.84349,131.13656,36.7
-12.84383,131.13669,37.1
-12.85244,131.13979,40.9
-12.85248,131.1398,40.9
-12.85832,131.14191,47.4
-12.85937,131.14226,51.3
-12.85963,131.14233,52.3
-12.85998,131.14241,53.5
-12.8608,131.14252,56.8
-12.86088,131.14254,57
-12.86192,131.1426,58.5
-12.86216,131.14259,58.9
-12.86223,131.14258,59
-12.86314,131.14251,59.1
-12.86404,131.14233,59.4
-12.8663,131.14184,55.4
-12.86702,131.1417,55.6
-12.86847,131.14137,63.4
-12.86965,131.14112,61.4
-12.86966,131.14112,61.3
-12.87059,131.14092,59.2
-12.87167,131.14075,59
-12.87256,131.14069,54.9
-12.87322,131.14066,53.5
-12.87447,131.14065,52.6
-12.87504,131.14069,52.2
-12.87528,131.1407,51.6
-12.87564,131.14075,50.7
-12.87727,131.14093,52.4
-12.8838,131.14171,53.9
-12.88606,131.14196,54.5
-12.88728,131.14211,53.2
-12.88774,131.14213,52.6
-12.88792,131.14215,52.5
-12.88839,131.14215,52.3
-12.88884,131.14214,52.6
-12.88981,131.14201,53.7
-12.89029,131.14191,54.2
-12.89216,131.14142,55.6
-12.89233,131.14137,55.9
-12.90068,131.13918,52.4
-12.90233,131.13873,53.4
-12.90339,131.13848,52.8
-12.9039,131.13841,52.9
-12.90425,131.13837,53.2
-12.90491,131.13834,54.8
-12.90534,131.13834,55.4
-12.90596,131.1384,56.1
-12.9065,131.13847,57.3
-12.90707,131.13858,57.4
-12.90754,131.1387,57.4
-12.90791,131.13882,57.3
-12.90985,131.13939,59.9
-12.91018,131.13948,59.8
-12.91027,131.1395,59.9
-12.91055,131.13955,60.1
-12.91105,131.13962,60.4
-12.9117,131.13967,60.2
-12.91191,131.13967,60.2
-12.91222,131.13968,60.2
-12.91256,131.13967,60.2
-12.91292,131.13963,60.1
-12.91315,131.13962,60.1
-12.91332,131.1396,60
-12.91357,131.13956,60.7
-12.91393,131.13948,61.8
-12.9143,131.13938,63.6
-12.91501,131.13916,67
-12.91538,131.13902,68.1
-12.91597,131.13876,69.4
-12.92736,131.13257,68
-12.92941,131.13143,69.6
-12.93049,131.13087,68.9
-12.93052,131.13086,69
-12.93135,131.13048,71.2
-12.93175,131.13032,71.4
-12.9321,131.1302,71
-12.93401,131.12961,69.5
-12.9341,131.12957,69.5
-12.93455,131.12942,70.8
-12.93512,131.12918,72.3
-12.93565,131.12894,73.1
-12.93603,131.12875,74.1
-12.9367,131.12839,76.3
-12.93763,131.12781,76.2
-12.93765,131.1278,76.3
-12.94167,131.12515,75.2
-12.94253,131.1246,75
-12.94297,131.12433,75.9
-12.94334,131.12412,76
-12.94447,131.12354,76.2
-12.94483,131.12339,76.1
-12.94494,131.12333,76
-12.94546,131.12313,75.9
-12.94569,131.12303,75.8
-12.94614,131.12288,76
-12.94631,131.12283,76.2
-12.94635,131.12281,76.3
-12.94674,131.12268,77.3
-12.94713,131.12257,79.1
-12.94732,131.12251,80.1
-12.94796,131.12236,81.9
-12.94875,131.12219,83.1
-12.94881,131.12218,83.2
-12.94973,131.12198,83.5
-12.95376,131.12117,84.1
-12.95393,131.12113,84.1
-12.95854,131.1202,90.1
-12.95888,131.12014,90.6
-12.96314,131.11927,98.3
-12.96333,131.11924,98.8
-12.96378,131.11913,98.4
-12.96425,131.11899,97.9
-12.96455,131.11887,98.3
-12.96499,131.11868,99
-12.96539,131.11848,99.2
-12.9658,131.11825,99
-12.96695,131.11753,99.3
-12.96719,131.11739,98.7
-12.96759,131.11717,98.4
-12.96784,131.11705,98.5
-12.96861,131.11676,97.6
-12.96886,131.11668,96.5
-12.96916,131.11661,95
-12.9695,131.11652,93.5
-12.96994,131.11643,91.8
-12.97028,131.11638,90.7
-12.97111,131.1163,87.4
-12.97185,131.1163,84.7
-12.9776,131.11666,86
-12.97908,131.11679,83.6
-12.98206,131.11699,80.7
-12.98224,131.11701,80.5
-12.98493,131.11719,80.4
-12.98496,131.11719,80.5
-12.98529,131.11722,80.1
-12.99011,131.11756,73.9
-12.99098,131.1176,75.6
-12.99611,131.11795,71.9
-12.99687,131.11804,70.2
-12.9973,131.11811,69.6
-12.99761,131.11817,69
-12.9988,131.11845,67.1
-12.99911,131.11854,67.1
-12.99939,131.11865,67.7
-12.99948,131.11868,68
-13.00074,131.11921,71.5
-13.00128,131.11948,72.5
-13.00229,131.12006,79.4
-13.00624,131.1224,73.6
-13.00634,131.12245,73.5
-13.00637,131.12247,73.4
-13.00729,131.12286,75.5
-13.00734,131.12287,75.8
-13.00746,131.12291,75.8
-13.00752,131.12292,76
-13.00769,131.12298,74.9
-13.00783,131.12302,74.1
-13.00845,131.12317,70.7
-13.00878,131.12323,68.9
-13.00926,131.12329,66.8
-13.00988,131.12333,63.5
-13.01054,131.12331,61.5
-13.01131,131.12323,59.8
-13.01161,131.12318,59.3
-13.0118,131.12312,59.1
-13.01283,131.12286,54.9
-13.01374,131.12261,53.4
-13.01479,131.1223,55.8
-13.01484,131.12229,56
-13.0156,131.12206,56.5
-13.01566,131.12205,56.5
-13.01577,131.12201,56.5
-13.01621,131.12189,57
-13.01636,131.12186,57.3
-13.01676,131.12176,58.1
-13.01731,131.1217,58
-13.01778,131.12168,56.9
-13.01832,131.1217,54.9
-13.01849,131.1217,55.5
-13.01888,131.12173,56.9
-13.01911,131.12176,57.8
-13.01942,131.12181,57.9
-13.01943,131.12181,57.9
-13.01957,131.12184,57.9
-13.0197,131.12186,57.9
-13.02034,131.122,57.8
-13.02107,131.12218,57.5
-13.02132,131.12222,57.1
-13.02199,131.1223,55.8
-13.0223,131.12232,55.1
-13.02291,131.12234,56.1
-13.02315,131.12233,57
-13.0233,131.12231,57.6
-13.02348,131.1223,57.7
-13.02406,131.12224,57.7
-13.02625,131.12174,63.7
-13.03384,131.12007,71.2
-13.03411,131.12002,71
-13.03536,131.11974,70.6
-13.03592,131.11959,71.2
-13.03687,131.11929,69.2
-13.03709,131.11921,68.9
-13.03717,131.11917,68.8
-13.03755,131.11903,68.7
-13.03816,131.11875,67.7
-13.03913,131.11827,64.6
-13.04992,131.11239,60.8
-13.05067,131.112,60
-13.05111,131.11175,60
-13.05942,131.10722,62.4
-13.06051,131.10666,62
-13.06149,131.10631,62.2
-13.0625,131.10608,65.5
-13.06392,131.10592,68.3
-13.0641,131.10589,68.6
-13.07378,131.10475,63.9
-13.07478,131.10465,64.7
-13.07596,131.10465,64.8
-13.07716,131.10485,65.7
-13.07835,131.10523,69.5
-13.0801,131.10606,75
-13.08108,131.10651,75.1
-13.08393,131.10787,73
-13.0851,131.10841,72.9
-13.08655,131.10895,70.2
-13.08795,131.10933,70.9
-13.08941,131.10956,70.2
-13.09088,131.10964,71.1
-13.09235,131.10955,69.6
-13.10259,131.10826,78.2
-13.10412,131.10823,79.8
-13.10871,131.10854,79.7
-13.11024,131.1085,80.7
-13.11152,131.10832,81
-13.11283,131.10803,81.5
-13.11436,131.10774,81.4
-13.12685,131.10671,70.1
-13.12817,131.1067,68.4
-13.1295,131.10681,70.6
-13.13146,131.10712,72.1
-13.13271,131.1073,70.7
-13.13427,131.10736,66.7
-13.15393,131.10628,60.8
-13.15646,131.10612,60.6
-13.15659,131.10612,60.7
-13.15714,131.10608,60.6
-13.15819,131.10594,60.1
-13.15884,131.10583,60
-13.15949,131.10568,60
-13.15963,131.10564,60
-13.16025,131.1055,60.1
-13.16105,131.10529,60.2
-13.1619,131.105,61
-13.16192,131.105,61
-13.1629,131.10465,60.4
-13.16722,131.10297,60.5
-13.16794,131.10274,61.6
-13.16892,131.10249,60.6
-13.17543,131.10149,56.2
-13.17726,131.10116,60.5
-13.18086,131.10064,58.6
-13.18207,131.10055,57.4
-13.18276,131.10057,58
-13.18356,131.10064,59.6
-13.18595,131.10103,57.1
-13.18924,131.1016,55.6
-13.18934,131.10161,56
-13.19469,131.10254,56.6
-13.19644,131.1028,59.4
-13.19664,131.10284,59.1
-13.19854,131.10294,56.9
-13.19965,131.10295,56.2
-13.20057,131.10293,57.6
-13.20147,131.10287,59
-13.20242,131.10277,60.3
-13.20316,131.10268,61.1
-13.20413,131.10252,61
-13.20726,131.10195,62.2
-13.21819,131.09987,53.7
-13.21823,131.09987,53.6
-13.2184,131.09983,53.4
-13.22053,131.09945,58.8
-13.22159,131.09938,61.9
-13.22237,131.09939,60.5
-13.22285,131.09943,58.5
-13.22575,131.09989,55.7
-13.22578,131.0999,55.8
-13.23335,131.10119,57.6
-13.23387,131.10127,58.5
-13.23388,131.10127,58.5
-13.23406,131.10131,58.8
-13.23447,131.10138,59.2
-13.23515,131.10153,59.1
-13.23529,131.10157,58.9
-13.23535,131.1016,58.7
-13.2355,131.10166,58.4
-13.23564,131.10171,58.2
-13.23582,131.1018,58
-13.23603,131.10192,58
-13.23625,131.10206,58
-13.23651,131.10224,58
-13.23672,131.1024,58
-13.23696,131.10262,58
-13.23726,131.10292,57.8
-13.23758,131.10328,57.1
-13.23769,131.10343,57.1
-13.23784,131.1036,57.3
